,status,x_marst,x_occup08,x_diplom,x_age,region,xh5,xj1,xj4.1,xj13.2
2030,Город,Состоите в зарегистрированном браке,законодатели; крупные чиновники; руководители высш. и сред. звена,законченное высшее образование и выше,53.0,"Оренбургская область, Орск",МУЖСКОЙ,Вы сейчас работаете,СТРОИТЕЛЬСТВО,ОТКАЗ ОТ ОТВЕТА
2031,Город,Состоите в зарегистрированном браке,законодатели; крупные чиновники; руководители высш. и сред. звена,законченное высшее образование и выше,51.0,"Оренбургская область, Орск",ЖЕНСКИЙ,Вы сейчас работаете,СТРОИТЕЛЬСТВО,ОТКАЗ ОТ ОТВЕТА
2032,Город,Никогда в браке не состояли,,законченное среднее специальное образование,20.0,"Оренбургская область, Орск",МУЖСКОЙ,Или у Вас сейчас нет работы,,
2033,Город,Состоите в зарегистрированном браке,работники сферы торговли и услуг,законченное среднее образование,56.0,"Оренбургская область, Орск",МУЖСКОЙ,Вы сейчас работаете,"ТРАНСПОРТ, СВЯЗЬ",18500.0
2034,Город,"Живете вместе, но не зарегистрированы",,законченное среднее специальное образование,61.0,"Оренбургская область, Орск",МУЖСКОЙ,Или у Вас сейчас нет работы,,
2035,Город,Состоите в зарегистрированном браке,работники сферы торговли и услуг,законченное среднее специальное образование,48.0,"Ставропольский край, Георгиевск и Георгиевский район",ЖЕНСКИЙ,Вы сейчас работаете,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",10000.0
2036,Город,Состоите в зарегистрированном браке,"квалифицированные рабочие, использующие машины и механизмы",законченное среднее специальное образование,49.0,"Ставропольский край, Георгиевск и Георгиевский район",МУЖСКОЙ,Вы сейчас работаете,"ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ",35000.0
2037,Город,Никогда в браке не состояли,специалисты среднего уровня квалификации; чиновники,законченное высшее образование и выше,26.0,"Ставропольский край, Георгиевск и Георгиевский район",МУЖСКОЙ,Вы сейчас работаете,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",45000.0
2038,Город,Никогда в браке не состояли,специалисты среднего уровня квалификации; чиновники,законченное высшее образование и выше,23.0,"Ставропольский край, Георгиевск и Георгиевский район",ЖЕНСКИЙ,Вы сейчас работаете,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",45000.0
2039,Город,Bдовец (вдова),,законченное среднее образование,69.0,"Ставропольский край, Георгиевск и Георгиевский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2040,Село,Разведены и в браке не состоите,,незаконченное среднее образование (7 - 8 кл) + что-то еще,82.0,"Алтайский край, Курьинский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2041,Село,Никогда в браке не состояли,,законченное среднее образование,18.0,"Алтайский край, Курьинский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2042,Областной центр,Состоите в зарегистрированном браке,"квалифицированные рабочие, использующие машины и механизмы",незаконченное среднее образование (7 - 8 кл) + что-то еще,39.0,Томск,МУЖСКОЙ,Вы сейчас работаете,НЕФТЕГАЗОВАЯ ПРОМЫШЛЕННОСТЬ,80000.0
2043,Областной центр,Bдовец (вдова),,законченное высшее образование и выше,81.0,Томск,ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2044,Областной центр,Никогда в браке не состояли,,законченное среднее образование,19.0,Томск,МУЖСКОЙ,Или у Вас сейчас нет работы,,
2045,Областной центр,Никогда в браке не состояли,,незаконченное среднее образование (7 - 8 кл) + что-то еще,18.0,Липецк,МУЖСКОЙ,Или у Вас сейчас нет работы,,
2046,ПГТ,Состоите в зарегистрированном браке,,законченное среднее специальное образование,51.0,"Республика Кабардино-Балкария, Залукокоаже и Зольский район",МУЖСКОЙ,Или у Вас сейчас нет работы,,
2047,Село,Никогда в браке не состояли,,законченное среднее специальное образование,19.0,"Республика Кабардино-Балкария, Залукокоаже и Зольский район",МУЖСКОЙ,Или у Вас сейчас нет работы,,
2048,Село,Bдовец (вдова),,законченное среднее образование,43.0,"Республика Кабардино-Балкария, Залукокоаже и Зольский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2049,Село,Никогда в браке не состояли,,законченное среднее специальное образование,19.0,"Республика Кабардино-Балкария, Залукокоаже и Зольский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2050,Село,Никогда в браке не состояли,,законченное среднее образование,18.0,"Республика Кабардино-Балкария, Залукокоаже и Зольский район",МУЖСКОЙ,Или у Вас сейчас нет работы,,
2051,Село,Никогда в браке не состояли,,законченное среднее образование,18.0,"Республика Кабардино-Балкария, Залукокоаже и Зольский район",МУЖСКОЙ,Или у Вас сейчас нет работы,,
2052,Город,Никогда в браке не состояли,,законченное среднее образование,44.0,"Алтайский край, Бийск и Бийский район",МУЖСКОЙ,Или у Вас сейчас нет работы,,
2053,Село,"Живете вместе, но не зарегистрированы",неквалифицированные рабочие всех отраслей,законченное среднее образование,53.0,"Коми Республика, Усинск и Усинский район",ЖЕНСКИЙ,Вы сейчас работаете,НЕФТЕГАЗОВАЯ ПРОМЫШЛЕННОСТЬ,30000.0
2054,Село,Bдовец (вдова),,окончил 0 - 6 классов,89.0,"Коми Республика, Усинск и Усинский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2055,Село,Состоите в зарегистрированном браке,специалисты среднего уровня квалификации; чиновники,законченное высшее образование и выше,53.0,"Амурская область, Тамбовский район",МУЖСКОЙ,Вы сейчас работаете,ЭНЕРГЕТИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ,50000.0
2056,Село,Состоите в зарегистрированном браке,специалисты высшего уровня квалификации,законченное высшее образование и выше,52.0,"Амурская область, Тамбовский район",ЖЕНСКИЙ,Вы сейчас работаете,ОБРАЗОВАНИЕ,25000.0
2057,Село,Состоите в зарегистрированном браке,работники сферы торговли и услуг,законченное среднее образование,36.0,"Амурская область, Тамбовский район",ЖЕНСКИЙ,Вы сейчас работаете,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",15000.0
2058,Село,Никогда в браке не состояли,,законченное среднее образование,20.0,"Амурская область, Тамбовский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2059,Село,Никогда в браке не состояли,,незаконченное среднее образование (7 - 8 кл) + что-то еще,18.0,"Амурская область, Тамбовский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2060,ПГТ,Разведены и в браке не состоите,,законченное среднее специальное образование,51.0,"Саратовская область, Вольск и Вольский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2061,ПГТ,Никогда в браке не состояли,специалисты высшего уровня квалификации,законченное среднее специальное образование,22.0,"Саратовская область, Вольск и Вольский район",ЖЕНСКИЙ,Вы сейчас работаете,"НАУКА, КУЛЬТУРА",11000.0
2062,Областной центр,Bдовец (вдова),,законченное среднее специальное образование,70.0,"Коми Республика, Сыктывкар",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2063,Областной центр,Разведены и в браке не состоите,,законченное высшее образование и выше,62.0,"Коми Республика, Сыктывкар",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2064,Областной центр,Никогда в браке не состояли,,законченное среднее специальное образование,19.0,Челябинск,ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2065,Село,"Живете вместе, но не зарегистрированы",работники сферы торговли и услуг,законченное среднее образование,53.0,"Челябинская область, Красноармейский район",ЖЕНСКИЙ,Вы сейчас работаете,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",6000.0
2066,Областной центр,Состоите в зарегистрированном браке,специалисты высшего уровня квалификации,законченное высшее образование и выше,45.0,Нижний Новгород,ЖЕНСКИЙ,Вы сейчас работаете,ОБРАЗОВАНИЕ,20000.0
2067,Областной центр,Состоите в зарегистрированном браке,специалисты высшего уровня квалификации,законченное высшее образование и выше,56.0,Нижний Новгород,МУЖСКОЙ,Вы сейчас работаете,"ТРАНСПОРТ, СВЯЗЬ",60000.0
2068,Областной центр,Никогда в браке не состояли,,законченное среднее специальное образование,20.0,Нижний Новгород,МУЖСКОЙ,Или у Вас сейчас нет работы,,
